Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780184486,160,,Aggregated,70.600000,0.000000,2000,2200,2400,2400,2700,3000,3300,3500,4100,4900,4900,4674,0,2000,2032.4603965800657,102.86769992671907,4875.850300071761,10412.70753102268
1780184487,160,,Aggregated,69.200000,0.000000,2000,2200,2400,2400,2700,3000,3300,3500,4100,4900,4900,4766,0,2000,2037.0116858825984,102.86769992671907,4875.850300071761,10404.930549727234
1780184488,160,,Aggregated,65.600000,0.000000,2000,2200,2400,2400,2700,3000,3300,3500,4100,4900,4900,4835,0,2000,2038.1569583488065,102.86769992671907,4875.850300071761,10403.670734229576
1780184489,160,,Aggregated,70.400000,0.000000,2000,2200,2400,2400,2700,3000,3300,3500,4100,4900,4900,4905,0,2000,2040.4659329902165,102.86769992671907,4875.850300071761,10402.591029561672
1780184490,160,,Aggregated,68.600000,0.000000,2000,2200,2400,2400,2700,3000,3300,3500,4100,4900,4900,4979,0,2000,2041.6377498729457,102.86769992671907,4875.850300071761,10400.985137577827
1780184491,160,,Aggregated,67.400000,0.000000,2000,2200,2400,2400,2700,3000,3300,3500,4000,4900,4900,5047,0,2000,2041.133084509229,102.86769992671907,4875.850300071761,10394.491975430949
1780184492,160,,Aggregated,67.800000,0.000000,2000,2200,2400,2400,2700,3000,3300,3500,4000,4900,4900,5105,0,2000,2045.0222906401611,102.86769992671907,4875.850300071761,10398.99098922625
1780184493,160,,Aggregated,70.800000,0.000000,2000,2200,2400,2500,2700,3000,3300,3500,4000,4900,4900,5163,0,2000,2046.873672383751,102.86769992671907,4875.850300071761,10399.109432500483
1780184494,160,,Aggregated,68.000000,0.000000,2100,2300,2400,2500,2700,3000,3300,3500,4000,4900,4900,5262,0,2100,2049.7749564456035,102.86769992671907,4875.850300071761,10406.747814519194
1780184495,160,,Aggregated,68.100000,0.000000,2100,2300,2400,2500,2700,3000,3300,3500,4000,4900,4900,5320,0,2100,2050.924418537214,102.86769992671907,4875.850300071761,10416.939473684211
1780184496,160,,Aggregated,69.300000,0.000000,2100,2300,2400,2500,2700,3000,3300,3500,4000,4900,4900,5383,0,2100,2051.651234314866,102.86769992671907,4875.850300071761,10417.637748467398
1780184497,160,,Aggregated,69.700000,0.000000,2100,2300,2400,2500,2700,3000,3300,3500,4000,4900,4900,5461,0,2100,2054.1337870385937,102.86769992671907,4875.850300071761,10411.419337117744
1780184498,160,,Aggregated,71.200000,0.000000,2100,2300,2400,2500,2700,3000,3300,3500,4000,4900,4900,5479,0,2100,2055.510871859368,102.86769992671907,4875.850300071761,10416.058769848512
1780184499,160,,Aggregated,70.000000,0.000000,2100,2300,2400,2500,2700,3000,3400,3600,4200,4900,4900,5566,0,2100,2068.0365005963686,102.86769992671907,4875.850300071761,10420.672655407834
1780184500,160,,Aggregated,65.500000,0.000000,2100,2300,2400,2500,2800,3000,3400,3600,4200,4900,4900,5628,0,2100,2076.7501157285,102.86769992671907,4875.850300071761,10423.68105899076
1780184501,160,,Aggregated,63.700000,0.000000,2100,2300,2400,2500,2800,3000,3400,3600,4400,4900,4900,5693,0,2100,2079.2321000738884,102.86769992671907,4875.850300071761,10424.751097839451
